# Randomly generate gene expression data
ENSEMBL_Gene_ID	fold_changes	adjusted_p_values	gene_length	chromosome
ENSG0000008500	-0.6528403182790654	0.58	10972	Chr21
ENSG0000008501	-6.58455168569014	0.9295	125120	Chr4
ENSG0000008502	7.127051231607076	0.5333	9857	Chr1
ENSG0000008503	-1.988507045413927	0.9837	47829	Chr15
ENSG0000008504	-1.5119865523884404	0.004	83041	Chr19
ENSG0000008505	-6.358075585443234	0.2601	24708	Chr11
ENSG0000008506	4.725328889343769	0.3695	79303	Chr20
ENSG0000008507	9.737212472143453	0.6112	61515	Chr14
ENSG0000008508	2.520476070384947	0.7686	28907	Chr3
ENSG0000008509	4.824335267239245	0.845	44117	Chr8
ENSG0000008510	6.053214021105453	0.1401	496	Chr16
ENSG0000008511	1.368983238362593	0.1543	31799	Chr3
ENSG0000008512	-3.303348199702239	0.7453	54396	Chr15
ENSG0000008513	5.140855667782595	0.8429	60913	Chr8
ENSG0000008514	0.03411578571415393	0.9109	41597	Chr14
ENSG0000008515	0.5307963148368059	0.0959	28812	Chr13
ENSG0000008516	1.903206464137501	0.4127	16594	Chr1
ENSG0000008517	7.614935752299022	0.9505	37259	Chr21
ENSG0000008518	-4.286584650680642	0.1948	19794	Chr6
ENSG0000008519	-1.75447002843096	0.9476	59615	Chr3
ENSG0000008520	-0.6786870929844038	0.5358	5260	Chr10
ENSG0000008521	3.00532283280275	0.9524	70153	Chr18
ENSG0000008522	-5.503368872787608	0.7617	126208	Chr20
ENSG0000008523	8.221298975134108	0.713	12430	Chr11
ENSG0000008524	-4.711902500373841	0.9804	90260	Chr3
ENSG0000008525	0.7400155058337092	0.4616	18463	Chr17
ENSG0000008526	-2.8359971640677495	0.9633	12489	Chr22
ENSG0000008527	2.5108246233391855	0.4955	74089	Chr4
ENSG0000008528	-2.6156758437904424	0.3394	133259	Chr22
ENSG0000008529	2.9210073533634078	0.3564	61827	Chr1
ENSG0000008530	2.432370261091312	0.6023	9838	Chr22
ENSG0000008531	-4.7439187648054	0.9284	63152	Chr4
ENSG0000008532	-3.2691087690017104	0.1524	70631	Chr22
ENSG0000008533	-3.5376351516742757	0.9921	31231	Chr13
ENSG0000008534	-4.292272001098261	0.9964	26635	Chr13
ENSG0000008535	-2.264093031847853	0.3688	23161	Chr9
ENSG0000008536	9.600251084794333	0.569	11744	Chr3
ENSG0000008537	-6.973025568518553	0.6865	37197	Chr23
ENSG0000008538	4.904456706804956	0.136	31692	Chr13
ENSG0000008539	2.320184049304087	0.9171	27966	Chr12
ENSG0000008540	1.9151543038407848	0.9666	67208	Chr20
ENSG0000008541	-11.135148591424276	0.8124	21509	Chr2
ENSG0000008542	0.19408199541207385	0.5102	60028	Chr5
ENSG0000008543	-6.7667794952039415	0.9608	95215	Chr3
ENSG0000008544	3.1307520906500343	0.9235	9695	Chr9
ENSG0000008545	4.478296222230316	0.8028	21102	Chr10
ENSG0000008546	0.8087485009800012	0.6247	86308	Chr23
ENSG0000008547	3.413698839118118	0.6842	31631	Chr5
ENSG0000008548	0.11920305520634414	0.842	8868	Chr8
ENSG0000008549	3.7663027851819137	0.3362	74178	Chr16
ENSG0000008550	-3.6431882697066813	0.449	50823	Chr21
ENSG0000008551	-6.458690180435363	0.7127	15108	Chr5
ENSG0000008552	2.275972147795841	0.388	57696	Chr22
ENSG0000008553	-6.25668244604379	0.245	32407	Chr14
ENSG0000008554	-2.475253301217621	0.0833	78068	Chr2
ENSG0000008555	-2.272586406324239	0.9266	22202	Chr22
ENSG0000008556	-1.1288064029284723	0.4767	11180	Chr4
ENSG0000008557	0.8924319628753924	0.8505	11833	Chr20
ENSG0000008558	-5.731566996418599	0.844	197	Chr9
ENSG0000008559	6.426453303067145	0.6427	61256	Chr13
ENSG0000008560	-3.835021162356942	0.4064	12513	Chr5
ENSG0000008561	0.16475936268877805	0.8253	19836	Chr3
ENSG0000008562	-13.345547599661266	0.2435	91637	Chr7
ENSG0000008563	-3.18360711651303	0.0323	66046	Chr11
ENSG0000008564	-1.4944003089590019	0.1893	49413	Chr22
ENSG0000008565	4.1751445980269795	0.5187	49545	Chr23
ENSG0000008566	13.431737951380816	0.5701	35711	Chr22
ENSG0000008567	1.0047844329244464	0.7037	15243	Chr18
ENSG0000008568	-8.073289874940189	0.1828	57250	Chr22
ENSG0000008569	-7.991447032997048	0.679	50706	Chr16
ENSG0000008570	1.0325751431765295	0.0306	104381	Chr10
ENSG0000008571	-0.9218288187752992	0.2159	15085	Chr16
ENSG0000008572	5.354210376173505	0.8492	40715	Chr9
ENSG0000008573	2.57123455899774	0.0741	67405	Chr8
ENSG0000008574	-12.86299250954981	0.8865	26567	Chr17
ENSG0000008575	-5.309975193437946	0.7327	30306	Chr10
ENSG0000008576	-1.6286459807608187	0.9339	14500	Chr19
ENSG0000008577	-0.9391742669657005	0.9365	87468	Chr16
ENSG0000008578	7.799234007793552	0.8299	55399	Chr21
ENSG0000008579	-4.407967121063216	0.3127	55183	Chr10
ENSG0000008580	-0.8699831012073558	0.3788	47709	Chr20
ENSG0000008581	7.480337529283582	0.3716	38584	Chr5
ENSG0000008582	-7.415160588558728	0.6608	20919	Chr11
ENSG0000008583	-7.254139980119181	0.6023	50476	Chr9
ENSG0000008584	1.551026350639306	0.7534	14250	Chr2
ENSG0000008585	1.0214722540159695	0.6665	47300	Chr8
ENSG0000008586	-14.047363585733097	0.9552	30575	Chr23
ENSG0000008587	0.9379703001010786	0.5701	40590	Chr4
ENSG0000008588	-3.7217372754928064	0.1338	33684	Chr18
ENSG0000008589	2.9989994513654072	0.5014	60087	Chr6
ENSG0000008590	9.137814535474169	0.1546	53024	Chr16
ENSG0000008591	-4.126900031101935	0.121	95170	Chr5
ENSG0000008592	-3.4400111261617345	0.2515	11753	Chr15
ENSG0000008593	1.1082389765144098	0.9841	56830	Chr8
ENSG0000008594	5.303927377470503	0.2641	2972	Chr16
ENSG0000008595	3.23702651600179	0.3586	56509	Chr23
ENSG0000008596	10.325380232358917	0.1847	55638	Chr10
ENSG0000008597	-5.439846897807545	0.6265	82069	Chr13
ENSG0000008598	-2.2694077473162673	0.9483	17833	Chr8
ENSG0000008599	-9.988157679558427	0.4766	2340	Chr2
ENSG0000008600	-3.7580139735789073	0.1243	5133	Chr19
ENSG0000008601	-3.559634645210648	0.5583	14879	Chr20
ENSG0000008602	-0.8122169885939602	0.9314	35000	Chr15
ENSG0000008603	2.049409118226561	0.2877	7222	Chr17
ENSG0000008604	7.183890561121633	0.0029	24964	Chr4
ENSG0000008605	7.054310258267628	0.0486	40392	Chr18
ENSG0000008606	3.762956088452078	0.8793	1356	Chr8
ENSG0000008607	3.014994226196708	0.6694	37024	Chr7
ENSG0000008608	3.451185063776881	0.6358	79593	Chr13
ENSG0000008609	1.0252534139452731	0.6622	110101	Chr12
ENSG0000008610	2.8223122622842336	0.2913	40366	Chr4
ENSG0000008611	0.1051995947640981	0.9168	16694	Chr5
ENSG0000008612	-3.5363973837521616	0.4271	12659	Chr23
ENSG0000008613	4.853418747968391	0.7946	43177	Chr22
ENSG0000008614	7.403780637151848	0.2524	104144	Chr18
ENSG0000008615	-3.4197676539743243	0.2497	49813	Chr4
ENSG0000008616	0.4594289388292838	0.2254	28860	Chr22
ENSG0000008617	-0.9108736873785255	0.0114	4142	Chr4
ENSG0000008618	8.432480362029569	0.4022	13001	Chr1
ENSG0000008619	2.428656139050954	0.6753	70535	Chr16
ENSG0000008620	3.4611792815812326	0.0797	128612	Chr3
ENSG0000008621	8.224592276649718	0.2195	70205	Chr18
ENSG0000008622	-7.351757327557543	0.044	21171	Chr9
ENSG0000008623	-2.9889694642575426	0.9292	53402	Chr7
ENSG0000008624	-9.186949139212611	0.2151	48699	Chr19
ENSG0000008625	-2.420451334000348	0.6247	41759	Chr7
ENSG0000008626	-6.941217825737802	0.4266	25227	Chr7
ENSG0000008627	12.500393730711146	0.3761	1183	Chr23
ENSG0000008628	-5.139623113314206	0.5976	62306	Chr10
ENSG0000008629	6.122957686171226	0.1174	39709	Chr21
ENSG0000008630	0.6478470162372331	0.2572	85494	Chr1
ENSG0000008631	-14.356372796471124	0.6514	4464	Chr15
ENSG0000008632	0.9673947491762723	0.8453	49264	Chr5
ENSG0000008633	4.7752403494697315	0.2378	59946	Chr2
ENSG0000008634	1.346882595833641	0.5545	15083	Chr13
ENSG0000008635	-4.9067200124214585	0.091	20281	Chr5
ENSG0000008636	5.413184578427401	0.3781	13232	Chr7
ENSG0000008637	9.152196872359879	0.6782	76710	Chr9
ENSG0000008638	-3.811362032797522	0.7082	12814	Chr1
ENSG0000008639	1.5173350021586207	0.6258	5199	Chr14
ENSG0000008640	-0.5192027741757657	0.047	65743	Chr1
ENSG0000008641	-7.528281722584065	0.081	552	Chr3
ENSG0000008642	-1.0529064294408081	0.5956	2770	Chr17
ENSG0000008643	-3.0289452183367613	0.0645	82989	Chr10
ENSG0000008644	5.36418251977584	0.6914	76430	Chr1
ENSG0000008645	5.1137532415187605	0.5765	22641	Chr20
ENSG0000008646	6.516244722988627	0.7524	44242	Chr17
ENSG0000008647	-8.952243381184088	0.7739	21304	Chr9
ENSG0000008648	-3.4690342904604323	0.4211	90011	Chr14
ENSG0000008649	-2.150291044303647	0.6238	75550	Chr7
ENSG0000008650	-3.374578998144045	0.4379	31149	Chr2
ENSG0000008651	-4.213011455657787	0.3002	57342	Chr15
ENSG0000008652	4.788612485140452	0.1982	1842	Chr2
ENSG0000008653	-4.73195991944679	0.3266	18435	Chr8
ENSG0000008654	2.4596111815269843	0.147	1737	Chr8
ENSG0000008655	-0.8744691021752222	0.821	15445	Chr11
ENSG0000008656	-3.9250975913789854	0.5989	65794	Chr18
ENSG0000008657	-1.696586313156038	0.7924	13964	Chr9
ENSG0000008658	5.382625543042269	0.2364	4371	Chr1
ENSG0000008659	-0.5715885127686294	0.0036	6361	Chr10
ENSG0000008660	-6.957751081457287	0.8266	19882	Chr1
ENSG0000008661	11.726493089217993	0.9316	63689	Chr21
ENSG0000008662	-1.4369261036448715	0.9031	98603	Chr3
ENSG0000008663	1.2384083376815744	0.1429	10288	Chr9
ENSG0000008664	-1.783410242994051	0.6595	13821	Chr7
ENSG0000008665	-7.764680225025681	0.3034	90651	Chr11
ENSG0000008666	-1.3810836583207053	0.5157	72335	Chr21
ENSG0000008667	4.328821634879682	0.7696	48341	Chr4
ENSG0000008668	-5.470596430474495	0.4452	49651	Chr19
ENSG0000008669	1.0397048055562987	0.2267	40739	Chr15
ENSG0000008670	1.9205266421380034	0.8496	57835	Chr7
ENSG0000008671	-15.159976556118053	0.4142	83891	Chr1
ENSG0000008672	2.121278522474856	0.5933	127821	Chr7
ENSG0000008673	10.207755129279443	0.4593	18738	Chr3
ENSG0000008674	1.9421763780396168	0.1354	48475	Chr5
ENSG0000008675	-7.786359057827993	0.3459	15261	Chr18
ENSG0000008676	-3.2868799631254353	0.4558	65459	Chr3
ENSG0000008677	6.818457174147271	0.7081	10211	Chr5
ENSG0000008678	0.4107408464983476	0.779	54963	Chr21
ENSG0000008679	-3.950802754169589	0.526	64221	Chr12
ENSG0000008680	-2.5964635253353725	0.0837	98589	Chr19
ENSG0000008681	-2.0566633882124696	0.7316	50467	Chr15
ENSG0000008682	7.2981881215604	0.2933	80547	Chr23
ENSG0000008683	-2.6063687746021698	0.5402	27487	Chr18
ENSG0000008684	-5.772359955363605	0.5671	31700	Chr6
ENSG0000008685	-0.6022852380216616	0.2383	22170	Chr21
ENSG0000008686	-4.228969573097941	0.417	19883	Chr11
ENSG0000008687	8.177096047565964	0.8177	22014	Chr19
ENSG0000008688	-2.45647278049389	0.1958	79318	Chr19
ENSG0000008689	9.374146285133323	0.3149	25586	Chr10
ENSG0000008690	-16.553158093111346	0.8086	4493	Chr7
ENSG0000008691	-2.532839841484196	0.7422	8841	Chr23
ENSG0000008692	-4.075487488727375	0.2599	59875	Chr6
ENSG0000008693	-1.6280653091727952	0.5107	55978	Chr20
ENSG0000008694	3.647666651754999	0.9537	41462	Chr19
ENSG0000008695	4.241671043757201	0.5159	82123	Chr10
ENSG0000008696	5.159350931860129	0.5232	15381	Chr9
ENSG0000008697	2.2542972871351	0.2586	60087	Chr8
ENSG0000008698	2.8472668095717535	0.9964	31869	Chr16
ENSG0000008699	5.143709871222878	0.8625	41060	Chr12
ENSG0000008700	6.917946185342421	0.6817	54368	Chr13
ENSG0000008701	4.192254432138344	0.0544	34411	Chr6
ENSG0000008702	0.4076594808724783	0.2503	10136	Chr12
ENSG0000008703	-5.160096221621528	0.0669	82189	Chr10
ENSG0000008704	-3.343841721381815	0.0983	64619	Chr19
ENSG0000008705	-1.969735320231799	0.3808	53788	Chr21
ENSG0000008706	1.6793596231059866	0.8086	5710	Chr3
ENSG0000008707	-6.518063903449608	0.9294	37214	Chr10
ENSG0000008708	0.6923698849628472	0.7723	31461	Chr2
ENSG0000008709	-3.2416230720005186	0.9009	15571	Chr20
ENSG0000008710	-8.997923668849136	0.8426	37274	Chr20
ENSG0000008711	0.07394520101723931	0.7683	5360	Chr16
ENSG0000008712	5.064020400529897	0.8675	20673	Chr17
ENSG0000008713	3.4452484540090422	0.9931	14556	Chr11
ENSG0000008714	8.649866996437986	0.1062	76087	Chr14
ENSG0000008715	0.15013137097229182	0.5395	15052	Chr18
ENSG0000008716	9.114445275509729	0.8105	40793	Chr18
ENSG0000008717	-8.39987852614568	0.3085	25440	Chr21
ENSG0000008718	3.9996401585463865	0.565	12764	Chr2
ENSG0000008719	1.385170601031796	0.2722	10571	Chr20
ENSG0000008720	-2.7200700850327113	0.1569	80017	Chr9
ENSG0000008721	9.846115230712044	0.5106	53689	Chr21
ENSG0000008722	-10.754075064298704	0.5718	38127	Chr16
ENSG0000008723	2.950577793998395	0.7312	72311	Chr7
ENSG0000008724	-4.603812867947883	0.7109	45720	Chr9
ENSG0000008725	5.179596911246346	0.3471	15793	Chr10
ENSG0000008726	1.4125172357482996	0.3759	57626	Chr3
ENSG0000008727	5.617413822710297	0.1856	3023	Chr21
ENSG0000008728	0.245103633668534	0.4118	106262	Chr14
ENSG0000008729	-4.232353938780122	0.3173	13943	Chr18
ENSG0000008730	-4.479209818129505	0.8233	9743	Chr15
ENSG0000008731	1.5943644605712326	0.2564	65766	Chr6
ENSG0000008732	0.5816570945220663	0.4589	60491	Chr20
ENSG0000008733	-6.38850847983636	0.0028	88271	Chr18
ENSG0000008734	5.132704471822188	0.1838	113972	Chr23
ENSG0000008735	7.502343440981212	0.8208	31803	Chr18
ENSG0000008736	-5.133069055986731	0.538	15667	Chr20
ENSG0000008737	8.429446538889856	0.7926	14079	Chr9
ENSG0000008738	4.839664960451484	0.3482	111981	Chr4
ENSG0000008739	-5.017243166216132	0.6661	3787	Chr20
ENSG0000008740	7.507945267601026	0.579	47553	Chr3
ENSG0000008741	1.3843058649177937	0.6453	18421	Chr6
ENSG0000008742	6.338666999330358	0.8348	11545	Chr21
ENSG0000008743	-3.6903737010381303	0.8721	54520	Chr8
ENSG0000008744	0.23299070014218826	0.2561	32926	Chr14
ENSG0000008745	-2.0664938083995867	0.8026	37458	Chr19
ENSG0000008746	-4.463585808479044	0.9318	24587	Chr2
ENSG0000008747	-2.1835235119864396	0.1024	62257	Chr11
ENSG0000008748	-0.8844221993052586	0.2638	34683	Chr9
ENSG0000008749	-1.1749925796443226	0.289	64976	Chr17
ENSG0000008750	-4.082628319567283	0.2125	20665	Chr11
ENSG0000008751	-0.3621868787408977	0.7888	17224	Chr5
ENSG0000008752	0.24160219275434947	0.6635	63099	Chr13
ENSG0000008753	-5.4471432652878065	0.3038	36602	Chr10
ENSG0000008754	0.537136502701397	0.6481	30688	Chr13
ENSG0000008755	0.27126029140874475	0.8191	104849	Chr4
ENSG0000008756	-2.773208727479312	0.7126	19686	Chr7
ENSG0000008757	1.3480047664714068	0.1365	25148	Chr21
ENSG0000008758	-0.6038146699735182	0.298	49983	Chr10
ENSG0000008759	3.3859980631183313	0.3418	15504	Chr12
ENSG0000008760	-8.36182052479962	0.9043	69967	Chr21
ENSG0000008761	-2.0569097418481945	0.6414	50772	Chr13
ENSG0000008762	0.8214803780203561	0.0236	83976	Chr2
ENSG0000008763	-0.8732294985616375	0.6858	56004	Chr20
ENSG0000008764	-3.427696816130894	0.8515	13961	Chr10
ENSG0000008765	-0.7130052365654322	0.1284	11502	Chr2
ENSG0000008766	1.7239778974109365	0.336	2004	Chr13
ENSG0000008767	-4.730682791061398	0.4338	17512	Chr10
ENSG0000008768	-4.93366501184982	0.8605	53389	Chr15
ENSG0000008769	1.2785056910381885	0.3355	17932	Chr11
ENSG0000008770	-0.8637910662944273	0.4481	45719	Chr21
ENSG0000008771	4.24892278740577	0.8874	49812	Chr7
ENSG0000008772	8.447960769474438	0.7257	54940	Chr19
ENSG0000008773	-10.354476814335548	0.1349	108926	Chr6
ENSG0000008774	-4.980391100290714	0.9494	30081	Chr15
ENSG0000008775	-3.2816172461005015	0.2343	3306	Chr8
ENSG0000008776	3.077946993423606	0.9654	18158	Chr1
ENSG0000008777	-0.6656456458574266	0.788	41885	Chr20
ENSG0000008778	0.9227661987747768	0.655	8379	Chr23
ENSG0000008779	4.033844205208977	0.3569	5602	Chr2
ENSG0000008780	0.4464144363474523	0.7585	24714	Chr21
ENSG0000008781	9.529880405958629	0.927	20679	Chr6
ENSG0000008782	3.26651835085316	0.8082	8366	Chr20
ENSG0000008783	-3.224208909636308	0.3505	48712	Chr7
ENSG0000008784	8.18249150141531	0.5326	45513	Chr9
ENSG0000008785	-10.249050472160079	0.0997	83954	Chr2
ENSG0000008786	-1.1000841014228486	0.3003	12132	Chr20
ENSG0000008787	-0.6031059977416946	0.4057	24239	Chr4
ENSG0000008788	-4.115885533979331	0.6478	39456	Chr10
ENSG0000008789	2.9555675008764792	0.1174	28533	Chr19
ENSG0000008790	8.746639627946385	0.5862	51185	Chr10
ENSG0000008791	-11.229975598668284	0.0682	56985	Chr2
ENSG0000008792	-11.517121068106558	0.9601	30190	Chr21
ENSG0000008793	-5.289578380394545	0.8377	62504	Chr23
ENSG0000008794	-0.45176368851183507	0.4868	27662	Chr15
ENSG0000008795	9.055928531061772	0.5819	177	Chr19
ENSG0000008796	3.688999947622235	0.6283	23335	Chr7
ENSG0000008797	3.6775040783278894	0.0472	37032	Chr11
ENSG0000008798	-0.3808650273988568	0.6957	26799	Chr7
ENSG0000008799	1.0401537464960557	0.4723	75835	Chr4
ENSG0000008800	-0.9449909555946603	0.7393	42990	Chr4
ENSG0000008801	-7.195497895518881	0.8802	88120	Chr9
ENSG0000008802	-0.8990427123712842	0.7952	97627	Chr13
ENSG0000008803	2.0632123799107718	0.3863	49858	Chr8
ENSG0000008804	3.8937706831421295	0.974	31060	Chr2
ENSG0000008805	4.45344229153572	0.8491	93862	Chr9
ENSG0000008806	-6.408947278746162	0.1661	6850	Chr1
ENSG0000008807	-1.9785523266419383	0.7106	75995	Chr13
ENSG0000008808	-4.610497001691925	0.5879	133928	Chr13
ENSG0000008809	5.011322329418251	0.2868	57881	Chr21
ENSG0000008810	2.290838487195482	0.9876	41343	Chr17
ENSG0000008811	0.89656528330718	0.1922	37935	Chr7
ENSG0000008812	-2.381498559413455	0.4519	28138	Chr3
ENSG0000008813	-4.44078095960281	0.9215	97957	Chr6
ENSG0000008814	3.717262845233508	0.2266	39889	Chr18
ENSG0000008815	-2.9461601738722436	0.9653	19675	Chr11
ENSG0000008816	-4.096753156180693	0.2302	24830	Chr12
ENSG0000008817	3.555058280591407	0.2598	36832	Chr20
ENSG0000008818	1.6255376692002765	0.8757	56204	Chr11
ENSG0000008819	7.585981547997907	0.8311	17361	Chr3
ENSG0000008820	2.5491833567756212	0.5421	584	Chr7
ENSG0000008821	10.42313282956192	0.9194	53285	Chr6
ENSG0000008822	3.693212506795655	0.4263	52553	Chr13
ENSG0000008823	6.19838496479316	0.1179	90163	Chr11
ENSG0000008824	4.892868887520645	0.3941	14302	Chr16
ENSG0000008825	-1.880834449243574	0.8935	12777	Chr15
ENSG0000008826	-4.177664539844978	0.3187	17087	Chr22
ENSG0000008827	18.203216487699645	0.056	64596	Chr23
ENSG0000008828	-8.94329127357533	0.617	64061	Chr7
ENSG0000008829	-5.060258050211136	0.8259	104866	Chr15
ENSG0000008830	-2.0987430377709413	0.1649	15684	Chr19
ENSG0000008831	3.0207542686514604	0.5961	25944	Chr4
ENSG0000008832	-2.648831509856488	0.3977	44415	Chr23
ENSG0000008833	-0.1736224956792886	0.9336	106469	Chr14
ENSG0000008834	2.95648652479128	0.9479	13619	Chr23
ENSG0000008835	-6.269792089031321	0.5145	31974	Chr14
ENSG0000008836	2.3103054029223555	0.3043	30640	Chr9
ENSG0000008837	-0.05018553295250031	0.2001	19741	Chr2
ENSG0000008838	-1.2962795122506596	0.3274	17403	Chr21
ENSG0000008839	-12.045000752744057	0.2335	3531	Chr8
ENSG0000008840	-10.21432113666176	0.0585	46253	Chr18
ENSG0000008841	-2.436820467465298	0.9881	94080	Chr17
ENSG0000008842	2.891131735559992	0.466	44273	Chr2
ENSG0000008843	-5.307585994932133	0.2253	20663	Chr3
ENSG0000008844	-5.190619209180748	0.5185	12004	Chr21
ENSG0000008845	0.9979255323751728	0.3197	16272	Chr8
ENSG0000008846	-4.6078602824031805	0.8909	14145	Chr23
ENSG0000008847	5.707082530253595	0.1356	78947	Chr3
ENSG0000008848	-2.97342810016033	0.5908	36538	Chr11
ENSG0000008849	-6.133935716606118	0.7058	91710	Chr13
ENSG0000008850	-2.2609588857792424	0.9544	41477	Chr19
ENSG0000008851	3.3077560718701795	0.051	123022	Chr13
ENSG0000008852	-5.342953198034344	0.088	53147	Chr17
ENSG0000008853	-2.551865380510031	0.443	11451	Chr20
ENSG0000008854	0.06090207764258466	0.7599	43882	Chr2
ENSG0000008855	-3.9134457646291008	0.8055	62834	Chr20
ENSG0000008856	0.660196636149391	0.6269	41649	Chr20
ENSG0000008857	1.1135133216439246	0.1811	27725	Chr19
ENSG0000008858	2.3949929370986616	0.3437	37875	Chr8
ENSG0000008859	0.6034828932907761	0.2618	43500	Chr5
ENSG0000008860	-3.5899768696438574	0.7896	14139	Chr18
ENSG0000008861	-2.537452734448378	0.2969	20716	Chr4
ENSG0000008862	-6.806424407139965	0.9752	75619	Chr12
ENSG0000008863	-1.5012351375747093	0.1335	21694	Chr21
ENSG0000008864	-1.201518538751586	0.6288	48651	Chr13
ENSG0000008865	-6.893284402552723	0.1538	81960	Chr7
ENSG0000008866	-0.25884528022350756	0.4929	8219	Chr9
ENSG0000008867	-2.772333611956492	0.2999	34133	Chr7
ENSG0000008868	0.6779427299964564	0.592	32771	Chr4
ENSG0000008869	9.256089643870382	0.6207	93348	Chr11
ENSG0000008870	-1.4894165921612457	0.4345	12202	Chr16
ENSG0000008871	-1.9208289388892936	0.8295	57182	Chr3
ENSG0000008872	-0.8604405442930985	0.1786	50636	Chr14
ENSG0000008873	7.06420832176803	0.1686	19366	Chr13
ENSG0000008874	-0.09660553872070757	0.5356	24106	Chr22
ENSG0000008875	-2.646037798570298	0.4394	2352	Chr12
ENSG0000008876	-3.3128795007675342	0.5521	30973	Chr23
ENSG0000008877	-4.740943959315487	0.223	48012	Chr6
ENSG0000008878	2.768808238852227	0.8211	41388	Chr4
ENSG0000008879	-14.230567466542603	0.162	28984	Chr1
ENSG0000008880	0.006186178335415769	0.4468	36923	Chr14
ENSG0000008881	-9.524293732734186	0.1148	2785	Chr13
ENSG0000008882	6.141452325743659	0.1769	42172	Chr18
ENSG0000008883	-3.5739483380869923	0.8356	33821	Chr23
ENSG0000008884	-9.036066151913769	0.0809	40568	Chr6
ENSG0000008885	-7.416062369940689	0.5968	70666	Chr12
ENSG0000008886	-0.20898029071023244	0.8295	43379	Chr4
ENSG0000008887	-3.5689987745739455	0.2498	65429	Chr14
ENSG0000008888	1.703434630254763	0.1309	1633	Chr12
ENSG0000008889	-2.923195871228904	0.0357	38056	Chr18
ENSG0000008890	-1.8039701916481055	0.7935	112912	Chr1
ENSG0000008891	-0.23770906668769395	0.0279	54174	Chr12
ENSG0000008892	0.8636654221172212	0.6354	28855	Chr18
ENSG0000008893	2.1534694466883284	0.4321	10040	Chr9
ENSG0000008894	-0.2657011270232535	0.829	67223	Chr11
ENSG0000008895	-5.702349832764268	0.4331	36014	Chr5
ENSG0000008896	3.03828932773925	0.7287	23999	Chr6
ENSG0000008897	-2.1458644748105353	0.5132	71516	Chr10
ENSG0000008898	2.7299862347526576	0.1374	11402	Chr15
ENSG0000008899	-4.889646064552658	0.0968	56511	Chr5
ENSG0000008900	-2.202644567164823	0.6796	40026	Chr18
ENSG0000008901	7.998392963281451	0.3724	4738	Chr2
ENSG0000008902	1.608848354691967	0.1173	117353	Chr2
ENSG0000008903	-3.406975498229836	0.2517	10242	Chr13
ENSG0000008904	0.18399800135126196	0.8579	51749	Chr5
ENSG0000008905	3.646626165290699	0.1744	2203	Chr16
ENSG0000008906	-3.3448943772321242	0.5336	46792	Chr1
ENSG0000008907	-0.32746655508623645	0.3125	3831	Chr17
ENSG0000008908	5.554990785928511	0.11	33621	Chr13
ENSG0000008909	-1.3707137374129288	0.6139	44381	Chr9
ENSG0000008910	-2.6016895605226305	0.0148	97715	Chr7
ENSG0000008911	-8.911749064898247	0.1642	53806	Chr13
ENSG0000008912	1.3218534217005817	0.57	39019	Chr11
ENSG0000008913	-0.24862772888513807	0.1397	56950	Chr8
ENSG0000008914	-7.537342019916942	0.1484	40946	Chr1
ENSG0000008915	1.6051477864353294	0.517	67273	Chr16
ENSG0000008916	0.9534768845426478	0.5628	70851	Chr16
ENSG0000008917	1.0094367636131656	0.2249	20922	Chr5
ENSG0000008918	-0.2117995475217122	0.3393	50489	Chr1
ENSG0000008919	3.1533401575416944	0.8724	78961	Chr13
ENSG0000008920	-4.651053499794794	0.7921	15811	Chr22
ENSG0000008921	1.8297178239018148	0.4934	33304	Chr23
ENSG0000008922	-4.973667910868239	0.8939	29	Chr15
ENSG0000008923	-11.453236738985508	0.3425	23055	Chr5
ENSG0000008924	-3.3257528139244883	0.5856	22156	Chr12
ENSG0000008925	-9.74725744693022	0.4012	49393	Chr5
ENSG0000008926	2.205616834417109	0.0131	34009	Chr15
ENSG0000008927	0.7123337831621088	0.5714	39858	Chr13
ENSG0000008928	3.0211482136283423	0.1902	46954	Chr20
ENSG0000008929	7.250629767077749	0.2787	63861	Chr17
ENSG0000008930	2.968937349119919	0.3609	35699	Chr15
ENSG0000008931	1.3697745996436699	0.6866	10176	Chr5
ENSG0000008932	3.8579543191680807	0.8236	22707	Chr5
ENSG0000008933	-0.6467880083751966	0.9601	66491	Chr5
ENSG0000008934	-1.0766941826640264	0.3378	56076	Chr12
ENSG0000008935	4.947411761540424	0.1299	109743	Chr15
ENSG0000008936	-2.186364469143951	0.6154	11424	Chr16
ENSG0000008937	-4.583819407699401	0.6132	129700	Chr7
ENSG0000008938	-3.4664695919592816	0.8015	26196	Chr22
ENSG0000008939	3.6142292164494054	0.9216	63000	Chr8
ENSG0000008940	-0.5891581530419744	0.0938	24597	Chr8
ENSG0000008941	-0.9288892887672838	0.9144	6653	Chr23
ENSG0000008942	-5.269705206349641	0.7792	75551	Chr20
ENSG0000008943	1.851479110163177	0.2622	38858	Chr19
ENSG0000008944	-1.919287750177955	0.433	12871	Chr8
ENSG0000008945	2.683514033323026	0.1632	59378	Chr7
ENSG0000008946	-0.6043994476023674	0.8357	3812	Chr17
ENSG0000008947	-4.401332646205583	0.7191	114838	Chr4
ENSG0000008948	2.7969205123836787	0.049	5518	Chr14
ENSG0000008949	2.3471031151223363	0.8667	33574	Chr6
ENSG0000008950	10.566082843370515	0.9141	105107	Chr8
ENSG0000008951	0.7349205725542354	0.3425	12566	Chr15
