# Randomly generate gene expression data
ENSEMBL_Gene_ID	fold_change	adjusted_p_value	gene_length	chromosome
ENSG0000004199	-5.009402480563175	0.2999	3168	Chr3
ENSG0000004200	-7.572503585656312	0.4727	17829	Chr14
ENSG0000004201	-0.9464169853015996	0.667	4943	Chr1
ENSG0000004202	-0.8121747195447288	0.9882	32607	Chr19
ENSG0000004203	4.950353536027372	0.3753	24889	Chr17
ENSG0000004204	6.025075231515063	0.5601	7386	Chr3
ENSG0000004205	3.0288735319236793	0.9433	26470	Chr4
ENSG0000004206	0.42458755856166536	0.5421	35540	Chr8
ENSG0000004207	-0.7352710704670391	0.2281	99	Chr16
ENSG0000004208	1.7553984209459526	0.443	26178	Chr9
ENSG0000004209	4.324506511844761	0.9726	45026	Chr17
ENSG0000004210	-3.300920826278083	0.9109	38753	Chr2
ENSG0000004211	-3.4605971260066966	0.2708	86890	Chr3
ENSG0000004212	0.45589535802176623	0.1747	14575	Chr18
ENSG0000004213	5.283322240836896	0.5972	32061	Chr5
ENSG0000004214	-4.0116686043346	0.41	111060	Chr23
ENSG0000004215	3.528858723159419	0.4925	110208	Chr3
ENSG0000004216	0.5774509389292386	0.8488	42624	Chr19
ENSG0000004217	0.3255940468755703	0.2686	85689	Chr21
ENSG0000004218	0.9303248996729253	0.3255	33977	Chr11
ENSG0000004219	-6.422905647095959	0.9299	54179	Chr18
ENSG0000004220	4.770935206353493	0.96	123611	Chr21
ENSG0000004221	6.317350366922127	0.6908	3440	Chr14
ENSG0000004222	-1.774928525901474	0.5361	79299	Chr18
ENSG0000004223	-4.2732354964843795	0.2012	59064	Chr11
ENSG0000004224	1.0062903216497212	0.2907	38843	Chr5
ENSG0000004225	2.5026840256600473	0.3735	34292	Chr1
ENSG0000004226	-0.9078403279382832	0.0515	41977	Chr2
ENSG0000004227	-0.46815231360742166	0.4408	35343	Chr4
ENSG0000004228	6.072221941319647	0.7898	90926	Chr3
ENSG0000004229	6.480124382042256	0.5215	83367	Chr19
ENSG0000004230	-1.8054854941162177	0.6055	38905	Chr23
ENSG0000004231	-0.4653763954818021	0.3522	57113	Chr18
ENSG0000004232	3.7297298004939163	0.2744	5075	Chr15
ENSG0000004233	-1.6707388948295396	0.9119	27949	Chr19
ENSG0000004234	-0.7498981414214059	0.2337	24828	Chr1
ENSG0000004235	4.132184175935917	0.3289	39028	Chr16
ENSG0000004236	4.3984711082780095	0.8136	58902	Chr22
ENSG0000004237	-9.927223277818083	0.6261	4309	Chr22
ENSG0000004238	-1.2352392671644536	0.3559	22420	Chr16
ENSG0000004239	-0.006343000603770851	0.5645	19882	Chr22
ENSG0000004240	7.388237286110303	0.6608	28826	Chr4
ENSG0000004241	3.942938162467457	0.4496	14075	Chr20
ENSG0000004242	12.020817661915542	0.7463	31830	Chr22
ENSG0000004243	-2.4276713275121815	0.1876	34031	Chr22
ENSG0000004244	5.003605671251164	0.1939	38195	Chr11
ENSG0000004245	-2.2912444617384797	0.2068	10977	Chr23
ENSG0000004246	5.261010514229182	0.5125	35914	Chr10
ENSG0000004247	0.886941659279198	0.833	3304	Chr9
ENSG0000004248	6.274004027966088	0.0701	14112	Chr18
ENSG0000004249	-1.7769331124066723	0.8579	3930	Chr9
ENSG0000004250	-1.2075771225657725	0.5379	58853	Chr11
ENSG0000004251	-6.349792660875254	0.1461	143814	Chr21
ENSG0000004252	-5.123484455843541	0.6857	77977	Chr18
ENSG0000004253	1.1130820086520823	0.5637	43814	Chr3
ENSG0000004254	7.267705338988549	0.8012	71309	Chr7
ENSG0000004255	1.1744259151582002	0.92	12175	Chr6
ENSG0000004256	-3.584979783021933	0.685	120836	Chr5
ENSG0000004257	-7.778766637815697	0.4128	93846	Chr10
ENSG0000004258	-11.10207074907776	0.8356	30904	Chr7
ENSG0000004259	2.0761586417210305	0.8636	104673	Chr13
ENSG0000004260	-3.5404337206873997	0.1906	41067	Chr20
ENSG0000004261	6.277253460803205	0.6744	37900	Chr21
ENSG0000004262	1.1279840180880727	0.8522	2433	Chr17
ENSG0000004263	6.553375177268247	0.7315	102145	Chr10
ENSG0000004264	-5.4886611683115465	0.6895	70387	Chr10
ENSG0000004265	-1.4868751586693583	0.7532	57026	Chr7
ENSG0000004266	-6.933170877432118	0.6164	55190	Chr8
ENSG0000004267	-0.6860431504153623	0.1266	26563	Chr13
ENSG0000004268	-10.438249489926083	0.3048	133651	Chr11
ENSG0000004269	-3.366787209979542	0.7425	47087	Chr6
ENSG0000004270	2.8169129083117195	0.204	22912	Chr14
ENSG0000004271	3.413381867438257	0.8808	73620	Chr9
ENSG0000004272	2.3580710323183545	0.8465	22600	Chr17
ENSG0000004273	2.6642955595637616	0.5095	7212	Chr13
ENSG0000004274	-3.0091873883268283	0.9291	4916	Chr20
ENSG0000004275	-10.429799054056039	0.3496	27888	Chr19
ENSG0000004276	5.852803454476475	0.5737	3938	Chr10
ENSG0000004277	-0.41829085571559516	0.8016	16959	Chr1
ENSG0000004278	-7.506460318864471	0.7014	59562	Chr6
ENSG0000004279	2.9048280576303487	0.5815	30662	Chr21
ENSG0000004280	1.9654111638830376	0.4176	40499	Chr10
ENSG0000004281	7.7216755570475915	0.6718	50739	Chr19
ENSG0000004282	-9.32212718445274	0.1089	3222	Chr17
ENSG0000004283	-3.482527513243821	0.4439	19849	Chr1
ENSG0000004284	2.0135740753602756	0.9893	5883	Chr13
ENSG0000004285	-0.1370728343150901	0.6996	26077	Chr20
ENSG0000004286	-1.9385974438848221	0.2457	89002	Chr21
ENSG0000004287	-4.1129119809095265	0.225	54428	Chr5
ENSG0000004288	-4.555809001310705	0.0561	46787	Chr14
ENSG0000004289	2.27209438956233	0.0253	1425	Chr5
ENSG0000004290	-1.0014184270681112	0.1767	50687	Chr17
ENSG0000004291	-8.383573040100437	0.917	14403	Chr13
ENSG0000004292	-8.321853759311434	0.8938	32723	Chr23
ENSG0000004293	0.1379658579215404	0.905	17444	Chr1
ENSG0000004294	-7.10541223718859	0.2761	40274	Chr13
ENSG0000004295	-8.94505472666703	0.0131	141135	Chr13
ENSG0000004296	-6.353509924618896	0.4827	65766	Chr23
ENSG0000004297	10.013772644061662	0.1792	78489	Chr23
ENSG0000004298	3.2303901069507357	0.3637	47263	Chr21
ENSG0000004299	3.123608158600275	0.7723	7498	Chr19
ENSG0000004300	-3.9154958397706614	0.7798	21650	Chr22
ENSG0000004301	-10.385587096530355	0.7956	11503	Chr6
ENSG0000004302	2.9168638617260734	0.5509	106760	Chr1
ENSG0000004303	0.8960544334285475	0.8493	71814	Chr15
ENSG0000004304	-0.15537291617263418	0.6272	90493	Chr1
ENSG0000004305	2.9965181559715144	0.9185	44452	Chr17
ENSG0000004306	2.714968011540443	0.2251	40674	Chr19
ENSG0000004307	2.3558256015164867	0.5197	60795	Chr11
ENSG0000004308	-1.0036175904229692	0.406	18814	Chr1
ENSG0000004309	7.477568820105818	0.3198	9826	Chr16
ENSG0000004310	-0.7334021606849432	0.0007	69918	Chr8
ENSG0000004311	5.573784442592054	0.8405	1193	Chr4
ENSG0000004312	1.226980525433334	0.6005	30727	Chr1
ENSG0000004313	3.1202224354412817	0.5924	1732	Chr18
ENSG0000004314	-4.320122447111847	0.3448	7986	Chr18
ENSG0000004315	1.838789053486627	0.7794	32018	Chr8
ENSG0000004316	-6.70916695971194	0.3823	36565	Chr2
ENSG0000004317	0.3536276417047023	0.8381	50283	Chr4
ENSG0000004318	6.096632839607977	0.8049	66519	Chr12
ENSG0000004319	6.473927967900476	0.5826	25004	Chr22
ENSG0000004320	0.5555251445974038	0.9188	29146	Chr21
ENSG0000004321	1.0974538751304668	0.7995	34444	Chr14
ENSG0000004322	4.544220163344924	0.6992	26513	Chr17
ENSG0000004323	-1.51300001664911	0.439	8197	Chr16
ENSG0000004324	-3.8707655439361357	0.9918	64977	Chr8
ENSG0000004325	4.027259659306868	0.8136	80021	Chr6
ENSG0000004326	6.117160397591404	0.902	56377	Chr15
ENSG0000004327	7.989273193572014	0.6786	26625	Chr12
ENSG0000004328	-1.2161343136194818	0.3383	26276	Chr17
ENSG0000004329	-5.222397125690992	0.0329	55344	Chr3
ENSG0000004330	3.8069212213462884	0.0884	50625	Chr17
ENSG0000004331	-3.9451644341888166	0.1962	20014	Chr13
ENSG0000004332	1.7466092997885438	0.2417	98034	Chr15
ENSG0000004333	3.865672153261847	0.6257	50262	Chr18
ENSG0000004334	7.083469372273058	0.6622	50911	Chr10
ENSG0000004335	-7.445549271465827	0.0802	38280	Chr23
ENSG0000004336	11.260227373011242	0.6976	6340	Chr5
ENSG0000004337	-0.10868059314544222	0.3205	32652	Chr2
ENSG0000004338	-2.3973635108440354	0.3966	43510	Chr5
ENSG0000004339	-12.016305319148424	0.1605	47394	Chr2
ENSG0000004340	0.9883218888824148	0.2196	36801	Chr14
ENSG0000004341	1.4565946852732914	0.5514	40699	Chr3
ENSG0000004342	-6.27484384248476	0.7047	27799	Chr15
ENSG0000004343	-5.878575610464956	0.2856	91585	Chr21
ENSG0000004344	-2.878246761028983	0.2484	64257	Chr20
ENSG0000004345	-4.604255462135746	0.2487	104401	Chr1
ENSG0000004346	2.863667935882999	0.0723	101967	Chr22
ENSG0000004347	0.9045950652911278	0.2363	26252	Chr6
ENSG0000004348	0.7818256408241399	0.892	45368	Chr16
ENSG0000004349	6.173337073011219	0.3286	48636	Chr10
ENSG0000004350	3.6721780396082	0.7048	15502	Chr5
ENSG0000004351	7.0469712316164	0.9039	67700	Chr14
ENSG0000004352	4.693530615192486	0.162	35203	Chr3
ENSG0000004353	7.160894243691136	0.2619	31630	Chr20
ENSG0000004354	0.7766744566406147	0.0092	3079	Chr22
ENSG0000004355	0.9749834573606148	0.2779	16601	Chr19
ENSG0000004356	-0.9637634176945143	0.8253	7157	Chr21
ENSG0000004357	-1.171743257641912	0.7351	89875	Chr13
ENSG0000004358	4.351120099437842	0.9383	26034	Chr8
ENSG0000004359	-5.108180061564412	0.0197	76247	Chr17
ENSG0000004360	-12.011251941738596	0.9036	51925	Chr18
ENSG0000004361	8.384712494035044	0.5109	39895	Chr6
ENSG0000004362	0.4142729833865038	0.8496	14965	Chr17
ENSG0000004363	1.970380504820084	0.1032	44251	Chr16
ENSG0000004364	1.0035401141933207	0.1747	11635	Chr21
ENSG0000004365	3.992715724933485	0.3382	12959	Chr15
ENSG0000004366	1.132640374253052	0.803	45190	Chr11
ENSG0000004367	-8.347098546589123	0.7831	14373	Chr8
ENSG0000004368	6.468876708765268	0.7408	47469	Chr11
ENSG0000004369	6.840976082567412	0.7434	15059	Chr13
ENSG0000004370	-2.090949439838804	0.6553	14238	Chr9
ENSG0000004371	-3.069837105429363	0.4604	78357	Chr20
ENSG0000004372	-1.5883390925692882	0.1674	70558	Chr19
ENSG0000004373	0.029038875465238236	0.774	13872	Chr20
ENSG0000004374	2.3109660667264476	0.1466	15115	Chr10
ENSG0000004375	-2.8719444831144063	0.6347	69627	Chr2
ENSG0000004376	-1.9184443754723142	0.3799	120786	Chr8
ENSG0000004377	-0.20389492208172794	0.8431	8007	Chr18
ENSG0000004378	-5.61747639378006	0.6191	40184	Chr19
ENSG0000004379	5.881419836327632	0.166	10805	Chr17
ENSG0000004380	-1.4012164996412344	0.1577	23900	Chr20
ENSG0000004381	-5.1373817364474075	0.6686	25119	Chr3
ENSG0000004382	-3.6317689300836498	0.4197	7249	Chr11
ENSG0000004383	4.208596351582246	0.0256	25523	Chr17
ENSG0000004384	-8.883005390545343	0.9775	30554	Chr3
ENSG0000004385	-0.2651306357771687	0.9179	39744	Chr1
ENSG0000004386	5.089190996267348	0.2138	20059	Chr8
ENSG0000004387	-1.7043768471227039	0.5247	7389	Chr12
ENSG0000004388	-2.4901456231116805	0.1853	160027	Chr3
ENSG0000004389	-1.0619666175381357	0.2934	45604	Chr11
ENSG0000004390	-1.274060391350003	0.696	10393	Chr4
ENSG0000004391	-0.8555321278283614	0.869	16354	Chr7
ENSG0000004392	3.602442021289787	0.3343	108317	Chr8
ENSG0000004393	10.165903424519342	0.8936	53907	Chr21
ENSG0000004394	-5.183142122979328	0.2141	54657	Chr13
ENSG0000004395	7.369702880088901	0.4716	49227	Chr23
ENSG0000004396	-1.9461380648117688	0.791	41992	Chr17
ENSG0000004397	-5.7394261928611385	0.3234	47760	Chr18
ENSG0000004398	1.5158384214275389	0.8911	18044	Chr21
ENSG0000004399	2.897754447940705	0.0483	97951	Chr5
ENSG0000004400	-5.632354298490146	0.9772	42155	Chr21
ENSG0000004401	-5.8141697607367515	0.8648	87070	Chr15
ENSG0000004402	4.218332448502008	0.8227	72640	Chr5
ENSG0000004403	3.407400616375095	0.0148	83264	Chr11
ENSG0000004404	0.007096212769337784	0.0541	44092	Chr11
ENSG0000004405	3.316557004672087	0.041	3701	Chr15
ENSG0000004406	-0.4451890510477527	0.7367	20553	Chr5
ENSG0000004407	-2.5183965133192916	0.3724	26106	Chr14
ENSG0000004408	1.640383258511449	0.6447	57668	Chr12
ENSG0000004409	-1.0959752523295183	0.234	11387	Chr8
ENSG0000004410	2.948736146575394	0.6441	39070	Chr7
ENSG0000004411	3.303932660431278	0.9095	20170	Chr20
ENSG0000004412	7.524979911224174	0.3311	8619	Chr10
ENSG0000004413	4.478124688206313	0.9242	5404	Chr2
ENSG0000004414	0.5560736991969075	0.2293	5896	Chr3
ENSG0000004415	1.5005192159672498	0.6827	30451	Chr20
ENSG0000004416	-0.33795742113128574	0.65	3646	Chr16
ENSG0000004417	7.6827323480941265	0.596	95187	Chr12
ENSG0000004418	-4.975277871688113	0.5419	6933	Chr2
ENSG0000004419	3.503970759369026	0.0932	46081	Chr23
ENSG0000004420	-1.8142661808108822	0.9429	41492	Chr19
ENSG0000004421	2.0146063419441633	0.5728	31158	Chr13
ENSG0000004422	-6.050144802728269	0.9238	15188	Chr16
ENSG0000004423	0.041721167251548036	0.576	33976	Chr18
ENSG0000004424	5.058776498782046	0.5347	2107	Chr5
ENSG0000004425	-1.9636240934939344	0.9394	5357	Chr13
ENSG0000004426	4.192107867816165	0.1785	12406	Chr11
ENSG0000004427	-1.0184849669957705	0.716	26527	Chr3
ENSG0000004428	2.4289098847300963	0.2783	62712	Chr7
ENSG0000004429	-4.352187748636297	0.034	3828	Chr18
ENSG0000004430	4.3263614107262685	0.9901	73799	Chr22
ENSG0000004431	-2.1118093268945475	0.8317	47008	Chr12
ENSG0000004432	-0.7470744749441559	0.3443	13840	Chr11
ENSG0000004433	2.541700186350808	0.8289	15592	Chr20
ENSG0000004434	-4.226883133388376	0.2548	54665	Chr7
ENSG0000004435	2.5058051873861547	0.2826	88617	Chr1
ENSG0000004436	2.6590847232864845	0.7577	60107	Chr10
ENSG0000004437	-3.9218701950469645	0.2062	18417	Chr16
ENSG0000004438	-5.712750235596589	0.7214	66131	Chr1
ENSG0000004439	6.243133875093485	0.3224	10753	Chr7
ENSG0000004440	-4.987611494284904	0.2738	114705	Chr5
ENSG0000004441	-9.315599949834976	0.3108	104309	Chr22
ENSG0000004442	-0.6195137885334608	0.6574	95415	Chr1
ENSG0000004443	5.1081490783489	0.8323	20869	Chr7
ENSG0000004444	-6.329148758316886	0.4051	23718	Chr9
ENSG0000004445	4.853753615859127	0.8744	18092	Chr12
ENSG0000004446	-0.716050375015493	0.0364	5466	Chr13
ENSG0000004447	2.1604473426773683	0.2512	36809	Chr6
ENSG0000004448	7.717194319307344	0.1069	16783	Chr20
ENSG0000004449	8.075434423053967	0.8229	1789	Chr2
ENSG0000004450	-4.08232447739092	0.2692	92583	Chr18
ENSG0000004451	-1.4711444778977392	0.5733	26935	Chr17
ENSG0000004452	-9.379660599119195	0.8927	55428	Chr12
ENSG0000004453	-14.271082532393844	0.5334	6971	Chr21
ENSG0000004454	-5.87192147796887	0.4247	143207	Chr21
ENSG0000004455	5.96917177337538	0.5369	68951	Chr6
ENSG0000004456	4.600124990467854	0.9913	86352	Chr2
ENSG0000004457	-5.078639382975596	0.1755	144230	Chr15
ENSG0000004458	-2.3951012194133594	0.6768	70898	Chr1
ENSG0000004459	-0.7568473178171156	0.361	16686	Chr16
ENSG0000004460	9.278552121875368	0.1068	21786	Chr17
ENSG0000004461	-1.7861306701444062	0.9192	95709	Chr19
ENSG0000004462	3.4372092812528154	0.3984	26927	Chr22
ENSG0000004463	-2.2052217989114773	0.4987	7691	Chr13
ENSG0000004464	4.335661438130874	0.2626	15058	Chr13
ENSG0000004465	-2.3688749417618165	0.398	29942	Chr12
ENSG0000004466	-9.315333216692306	0.6008	33856	Chr14
ENSG0000004467	-0.10342746672102014	0.738	30103	Chr23
ENSG0000004468	-0.24729507520330213	0.5476	3612	Chr4
ENSG0000004469	0.18281716754279934	0.1104	114008	Chr3
ENSG0000004470	-0.04744729744005131	0.5063	13297	Chr21
ENSG0000004471	8.103456508127959	0.0596	109721	Chr6
ENSG0000004472	-0.5934411133387502	0.9349	7547	Chr11
ENSG0000004473	7.553989218765407	0.0534	83602	Chr5
ENSG0000004474	8.34083018122209	0.624	22444	Chr17
ENSG0000004475	2.3287467199862495	0.1748	52578	Chr5
ENSG0000004476	2.261461828713229	0.7787	5811	Chr6
ENSG0000004477	0.6902848880891098	0.3678	115061	Chr6
ENSG0000004478	-7.07749605152417	0.5066	5735	Chr1
ENSG0000004479	-2.4001646751577206	0.0559	53098	Chr8
ENSG0000004480	1.147928128896361	0.2924	20162	Chr6
ENSG0000004481	-5.5313426505020455	0.3114	27493	Chr19
ENSG0000004482	2.776979861033041	0.9691	96342	Chr19
ENSG0000004483	1.3253527433344185	0.1985	86102	Chr20
ENSG0000004484	3.7424622402666463	0.8846	16473	Chr10
ENSG0000004485	2.044679902730469	0.4126	116884	Chr5
ENSG0000004486	-6.766690227880108	0.995	21920	Chr21
ENSG0000004487	-2.555044551831522	0.0097	37440	Chr1
ENSG0000004488	5.288894661048857	0.7271	2025	Chr12
ENSG0000004489	3.6671662182980684	0.4756	15440	Chr15
ENSG0000004490	-4.63265495999646	0.1283	73834	Chr5
ENSG0000004491	7.059725426920379	0.358	41803	Chr12
ENSG0000004492	-0.9038550918012864	0.2168	7009	Chr16
ENSG0000004493	1.1792207216177284	0.0639	32380	Chr14
ENSG0000004494	6.194504138296403	0.2287	37832	Chr16
ENSG0000004495	-2.655880328174259	0.2865	49338	Chr8
ENSG0000004496	3.490117420341783	0.5024	4231	Chr23
ENSG0000004497	-6.471776015182704	0.7051	45139	Chr6
ENSG0000004498	0.8095518885405538	0.5961	2257	Chr23
ENSG0000004499	-4.8274981798275265	0.8161	1248	Chr15
ENSG0000004500	2.5066754411648224	0.8006	44042	Chr14
ENSG0000004501	-4.015657182222095	0.6715	26999	Chr10
ENSG0000004502	-0.8971747633406788	0.586	36568	Chr18
ENSG0000004503	-4.501682601607651	0.9992	54899	Chr23
ENSG0000004504	3.0846281027016675	0.5982	49589	Chr13
ENSG0000004505	-3.8748482749903514	0.3384	30522	Chr10
ENSG0000004506	-2.559285291981701	0.2773	2125	Chr21
ENSG0000004507	-2.698725192556659	0.8559	64169	Chr3
ENSG0000004508	5.313709559154795	0.3976	33044	Chr13
ENSG0000004509	-1.585486488675866	0.7318	68828	Chr22
ENSG0000004510	-11.27087072711987	0.2369	24900	Chr3
ENSG0000004511	-1.8125487809384988	0.0064	29856	Chr22
ENSG0000004512	-1.843350964146784	0.317	11657	Chr6
ENSG0000004513	-4.958603249187574	0.9905	8195	Chr13
ENSG0000004514	-5.412208632079084	0.9032	61118	Chr18
ENSG0000004515	4.265310391037108	0.5205	28079	Chr19
ENSG0000004516	3.9264722210196457	0.6481	10974	Chr4
ENSG0000004517	1.9250330543406278	0.9991	113	Chr10
ENSG0000004518	-8.098414190097422	0.8615	46532	Chr21
ENSG0000004519	2.3523794733646324	0.3715	5278	Chr11
ENSG0000004520	-1.0387995811435637	0.9821	17879	Chr3
ENSG0000004521	5.638721529611704	0.5043	107478	Chr13
ENSG0000004522	-3.6160161166826836	0.3666	30218	Chr5
ENSG0000004523	-6.0127229977433	0.0238	25986	Chr16
ENSG0000004524	5.539879695946388	0.4609	71952	Chr23
ENSG0000004525	-7.30515038023788	0.3743	26759	Chr19
ENSG0000004526	-5.93542793469021	0.957	41849	Chr15
ENSG0000004527	-4.456022754734875	0.7978	39880	Chr12
ENSG0000004528	3.0082131870603357	0.9386	22504	Chr11
ENSG0000004529	2.199234089675737	0.6641	6560	Chr18
ENSG0000004530	2.835010562410385	0.0519	14434	Chr2
ENSG0000004531	-1.6802428849557116	0.571	5528	Chr22
ENSG0000004532	0.03725960373207694	0.5137	88749	Chr8
ENSG0000004533	-3.6159147428694065	0.4226	25263	Chr19
ENSG0000004534	12.583445207312716	0.3349	31709	Chr15
ENSG0000004535	-3.2180216059795006	0.5224	12350	Chr11
ENSG0000004536	0.1949333514298746	0.7818	3392	Chr9
ENSG0000004537	4.606916173361216	0.3511	2540	Chr9
ENSG0000004538	6.209582507169586	0.4895	41841	Chr7
ENSG0000004539	4.016317138794559	0.6113	34404	Chr7
ENSG0000004540	-1.5762478229555434	0.1433	92198	Chr18
ENSG0000004541	-0.9249625658909748	0.3748	64573	Chr12
ENSG0000004542	6.376027763614289	0.4184	63047	Chr18
ENSG0000004543	-0.870220096828852	0.5074	2039	Chr18
ENSG0000004544	-1.7786834461048464	0.9104	11742	Chr11
ENSG0000004545	8.690092538972426	0.1772	31778	Chr23
ENSG0000004546	0.5006617318873379	0.9326	10764	Chr6
ENSG0000004547	3.573072592972072	0.041	18567	Chr11
ENSG0000004548	11.431860883886241	0.758	9917	Chr5
ENSG0000004549	-7.2169786243282585	0.8909	11247	Chr23
ENSG0000004550	-1.3766012144305173	0.5652	25431	Chr12
ENSG0000004551	4.175056239872533	0.0698	7446	Chr11
ENSG0000004552	1.4075627517017262	0.7557	10756	Chr5
ENSG0000004553	-1.4696392905061537	0.1089	66952	Chr15
ENSG0000004554	-3.456821111684711	0.9694	11314	Chr13
ENSG0000004555	11.578746908080486	0.7568	48924	Chr7
ENSG0000004556	-5.143926354915262	0.733	22986	Chr2
ENSG0000004557	-2.705041374895909	0.4074	19912	Chr22
ENSG0000004558	6.456408485639107	0.4543	19749	Chr11
ENSG0000004559	5.081449674203723	0.1632	16382	Chr16
ENSG0000004560	4.9323416615982465	0.9555	1289	Chr9
ENSG0000004561	3.825474220090841	0.8615	49215	Chr3
ENSG0000004562	0.6711584538648165	0.0922	2397	Chr5
ENSG0000004563	5.152914904599544	0.6272	7537	Chr21
ENSG0000004564	7.235223494883725	0.5556	21392	Chr1
ENSG0000004565	-4.615419764986506	0.0875	8117	Chr14
ENSG0000004566	6.90004184320784	0.9798	136326	Chr10
ENSG0000004567	0.8790221181696147	0.323	22138	Chr15
ENSG0000004568	1.1366153157885874	0.6282	17290	Chr3
ENSG0000004569	-3.69691590950584	0.1218	64682	Chr3
ENSG0000004570	-2.7823695353315947	0.1006	84846	Chr10
ENSG0000004571	-4.017824792150293	0.5622	83478	Chr5
ENSG0000004572	-3.2105666915875775	0.5275	72136	Chr4
ENSG0000004573	-1.5164523322873245	0.9342	41911	Chr23
ENSG0000004574	3.3788499887906602	0.0842	39226	Chr22
ENSG0000004575	-4.835987231057805	0.6156	118434	Chr10
ENSG0000004576	-9.64845446084363	0.758	66470	Chr17
ENSG0000004577	0.8648311809523324	0.7521	46683	Chr16
ENSG0000004578	-1.011923975703697	0.2633	19489	Chr13
ENSG0000004579	-1.835648629030717	0.1933	107858	Chr19
ENSG0000004580	-2.0291781382080996	0.0356	32894	Chr4
ENSG0000004581	-1.4332290313362308	0.1159	18397	Chr1
ENSG0000004582	0.4119547679904742	0.5858	35260	Chr19
ENSG0000004583	7.327016249998185	0.2307	32019	Chr23
ENSG0000004584	-2.71873020181597	0.202	30073	Chr11
ENSG0000004585	-2.5128218805880085	0.0313	32906	Chr9
ENSG0000004586	2.831082972497186	0.6425	33918	Chr11
ENSG0000004587	2.190814649113884	0.9891	13896	Chr20
ENSG0000004588	-6.034989722819214	0.9458	28466	Chr4
ENSG0000004589	2.5897572832696003	0.4241	29470	Chr4
ENSG0000004590	5.002364790196594	0.1181	7726	Chr22
ENSG0000004591	-4.106958361836844	0.104	63015	Chr4
ENSG0000004592	5.446303389806357	0.7289	12586	Chr5
ENSG0000004593	-9.002576639316182	0.5276	44496	Chr18
ENSG0000004594	-1.0960471563037408	0.0518	48346	Chr10
ENSG0000004595	-10.232603728126875	0.9068	113784	Chr17
ENSG0000004596	6.228435651755894	0.0498	57569	Chr8
ENSG0000004597	3.168519162066394	0.1288	121249	Chr11
ENSG0000004598	1.4184746186996675	0.6933	12293	Chr13
ENSG0000004599	13.308007739420027	0.7437	10629	Chr20
ENSG0000004600	3.0538079060992023	0.0497	49016	Chr3
ENSG0000004601	3.6523367589233535	0.8761	31168	Chr8
ENSG0000004602	-0.4340796178506376	0.8429	49624	Chr6
ENSG0000004603	1.3652927505505934	0.4568	19496	Chr14
ENSG0000004604	-0.8494371426731979	0.0691	34686	Chr19
ENSG0000004605	3.0898970868657996	0.8478	51103	Chr2
ENSG0000004606	0.03592496939340501	0.3422	50301	Chr4
ENSG0000004607	8.238154559624082	0.3325	43691	Chr2
ENSG0000004608	-3.936250112408498	0.5135	36150	Chr5
ENSG0000004609	-6.86224244648682	0.3238	12849	Chr21
ENSG0000004610	-3.7024392959579027	0.9443	9677	Chr5
ENSG0000004611	0.6438013559195622	0.4323	22517	Chr22
ENSG0000004612	5.508281735886833	0.3453	6653	Chr10
ENSG0000004613	2.4096753549213776	0.0031	30122	Chr3
ENSG0000004614	3.0899464625239643	0.1043	30743	Chr16
ENSG0000004615	-7.8542455104040325	0.8746	9252	Chr2
ENSG0000004616	6.511096485833534	0.7979	69165	Chr21
ENSG0000004617	0.9150201492446663	0.8183	124813	Chr10
ENSG0000004618	-0.4877309640694212	0.2306	52217	Chr14
ENSG0000004619	0.3395389168028564	0.596	10913	Chr19
ENSG0000004620	-4.1447997493810815	0.6157	21889	Chr19
ENSG0000004621	-5.384765099630799	0.0201	60848	Chr20
ENSG0000004622	7.868261114129914	0.6038	72690	Chr7
ENSG0000004623	4.236467950982109	0.5864	63092	Chr17
ENSG0000004624	8.167603826927449	0.7236	32560	Chr2
ENSG0000004625	-2.8762655407076823	0.8129	13556	Chr3
ENSG0000004626	-0.9741117145334413	0.5103	21604	Chr6
ENSG0000004627	-0.08583183117088461	0.4257	74272	Chr18
ENSG0000004628	-4.396676314480289	0.7209	83524	Chr3
ENSG0000004629	3.650273270010698	0.24	32255	Chr9
ENSG0000004630	8.260087649806291	0.9672	16165	Chr5
ENSG0000004631	-2.5555225059447135	0.3369	35934	Chr15
ENSG0000004632	0.07656216746299961	0.561	70247	Chr3
ENSG0000004633	10.675496370303282	0.325	25390	Chr16
ENSG0000004634	5.776342560102191	0.8382	21649	Chr3
ENSG0000004635	-7.610330189572515	0.936	26918	Chr6
ENSG0000004636	-7.266766705249355	0.4314	5196	Chr7
ENSG0000004637	3.253922843420968	0.2126	24730	Chr19
ENSG0000004638	-0.11076886245896951	0.4445	35907	Chr23
ENSG0000004639	1.4193431444907556	0.6892	52903	Chr3
ENSG0000004640	3.418558505944061	0.1858	63419	Chr6
ENSG0000004641	0.31976945241024113	0.4472	16325	Chr8
ENSG0000004642	2.3542844257031215	0.1331	49546	Chr13
ENSG0000004643	-3.4038462297862404	0.6388	20503	Chr5
ENSG0000004644	-4.758630391977096	0.754	66280	Chr22
ENSG0000004645	-5.056222807252299	0.9329	43038	Chr11
ENSG0000004646	-0.863889447790563	0.7494	12003	Chr8
ENSG0000004647	-0.6710591564160505	0.1366	29282	Chr5
ENSG0000004648	-3.8590712642719542	0.131	12331	Chr10
ENSG0000004649	7.982152121800268	0.3151	47095	Chr4
ENSG0000004650	-8.646167823611362	0.5022	11513	Chr14
